agent,type,column,category,subcategory,region,has_expression,has_inflows,has_outflows
capex_metro_train_IRR_per_trainset_indexed,expression,,economic,capex,city,True,False,False
capex_parking_structure_IRR_per_space_indexed,expression,,economic,capex,city,True,False,False
capex_road_upgrade_IRR_per_km_indexed,expression,,economic,capex,city,True,False,False
capex_taxi_EV_IRR_per_vehicle_indexed,expression,,economic,capex,city,True,False,False
capex_taxi_IRR_per_vehicle_indexed,expression,,economic,capex,city,True,False,False
car_purchases_vehicles_year,expression,,transport,fleet_stock_private,city,True,False,False
car_retirements_vehicles_year,expression,,transport,fleet_stock_private,city,True,False,False
cng_kg_year_r12,expression,,environment,energy_use,region 12,True,False,False
commute_share_of_trips,expression,,transport,telework,city,True,False,False
concentration_NO2_excess_ugm3,expression,,environment,air_quality,city,True,False,False
concentration_NO2_ugm3,expression,,environment,air_quality,city,True,False,False
concentration_NO2_ugm3_r12_proxy,expression,,environment,air_quality,region 12,True,False,False
concentration_PM25_excess_ugm3,expression,,environment,air_quality,city,True,False,False
concentration_PM25_ugm3,expression,,environment,air_quality,city,True,False,False
congestion_factor_r12_vs_city,expression,,transport,congestion,region 12,True,False,False
congestion_index,expression,,transport,congestion_capacity,city,True,False,False
congestion_index_r12,expression,,transport,congestion,region 12,True,False,False
cost_climate_IRR_year,expression,,impact,external_costs,city,True,False,False
cost_climate_IRR_year_r12,expression,,impact,external_costs,region 12,True,False,False
cost_congestion_IRR_year,expression,,economic,external_costs,city,True,False,False
cost_congestion_IRR_year_r12,expression,,economic,external_costs,region 12,True,False,False
cost_energy_IRR_year,expression,,economic,opex,city,True,False,False
cost_energy_IRR_year_r12,expression,,economic,opex,region 12,True,False,False
cost_energy_PT_IRR_year,expression,,economic,opex,city,True,False,False
cost_fuel_CNG_IRR_year,expression,,economic,opex,city,True,False,False
cost_fuel_diesel_IRR_year,expression,,economic,opex,city,True,False,False
cost_fuel_gasoline_IRR_year,expression,,economic,opex,city,True,False,False
cost_health_IRR_year,expression,,impact,external_costs,city,True,False,False
cost_health_IRR_year_r12,expression,,impact,external_costs,region 12,True,False,False
cost_hospital_day_IRR_indexed,expression,,social,health_impacts,city,True,False,False
cost_index_0,expression,,economic,prices_inflation_fx,city,True,False,False
cost_index_100,expression,,economic,prices_inflation_fx,city,True,False,False
cost_index_20,expression,,economic,prices_inflation_fx,city,True,False,False
cost_index_50,expression,,economic,prices_inflation_fx,city,True,False,False
cost_index_70,expression,,economic,prices_inflation_fx,city,True,False,False
cost_index_80,expression,,economic,prices_inflation_fx,city,True,False,False
cost_index_bus_fare_growth,expression,,economic,prices_inflation_fx,city,True,False,False
cost_index_metro_fare_growth,expression,,economic,prices_inflation_fx,city,True,False,False
cost_index_rhc_fare_growth,expression,,economic,prices_inflation_fx,city,True,False,False
cost_noise_IRR_year,expression,,impact,external_costs,city,True,False,False
cost_road_safety_IRR_year,expression,,impact,external_costs,city,True,False,False
cost_transport_public_IRR_year,expression,,economic,macro,city,True,False,False
cost_transport_public_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
deaths_NO2,expression,,social,health_impacts,city,True,False,False
deaths_PM25,expression,,social,health_impacts,city,True,False,False
deaths_PM25_adult,expression,,social,health_impacts,city,True,False,False
deaths_PM25_child,expression,,social,health_impacts,city,True,False,False
deaths_total,expression,,social,health_impacts,city,True,False,False
diesel_L_year_r12,expression,,environment,energy_use,region 12,True,False,False
dly_r12,expression,,transport,congestion,region 12,True,False,False
dly_tot,expression,,transport,congestion,city,True,False,False
ecn_usd,expression,,economic,prices_inflation_fx,city,True,False,False
economic_value_admissions_IRR,expression,,social,health_impacts,city,True,False,False
economic_value_deaths_IRR,expression,,social,health_impacts,city,True,False,False
electricity_bus_kWh_year,expression,,environment,energy_use,city,True,False,False
electricity_car_kWh_year,expression,,environment,energy_use,city,True,False,False
electricity_cost_PT_IRR_year,expression,,economic,opex,city,True,False,False
electricity_cost_transport_IRR_year,expression,,economic,opex,city,True,False,False
electricity_kWh_year_r12,expression,,environment,energy_use,region 12,True,False,False
electricity_metro_kWh_year,expression,,environment,energy_use,city,True,False,False
electricity_motorcycle_kWh_year,expression,,environment,energy_use,city,True,False,False
electricity_price_transport_indexed_IRR_kWh,expression,,economic,prices_inflation_fx,city,True,False,False
electricity_roadEV_kWh_year,expression,,environment,energy_use,city,True,False,False
electricity_taxi_kWh_year,expression,,environment,energy_use,city,True,False,False
electricity_transport_kWh_year,expression,,environment,energy_use,city,True,False,False
energy_CNG_MJ_year,expression,,environment,energy_use,city,True,False,False
energy_diesel_MJ_year,expression,,environment,energy_use,city,True,False,False
energy_electricity_MJ_year,expression,,environment,energy_use,city,True,False,False
energy_gasoline_MJ_year,expression,,environment,energy_use,city,True,False,False
energy_metro_kWh_km,expression,,environment,energy_use,city,True,False,False
expansion_BRT_km_year,expression,,transport,network_supply,city,True,False,False
expansion_bike_km_year,expression,,transport,network_supply,city,True,False,False
expansion_metro_km_year,expression,,transport,network_supply,city,True,False,False
expansion_road_km_year,expression,,transport,network_supply,city,True,False,False
external_cost_IRR_year,expression,,impact,external_costs,city,True,False,False
external_cost_IRR_year_r12,expression,,impact,external_costs,region 12,True,False,False
external_cost_per_trip_IRR,expression,,impact,system_costs,city,True,False,False
fare_bus_IRR_trip,expression,,economic,aliases,city,True,False,False
fare_bus_IRR_trip_indexed,expression,,economic,fares_revenue,city,True,False,False
fare_metro_IRR_trip,expression,,economic,aliases,city,True,False,False
fare_metro_IRR_trip_indexed,expression,,economic,fares_revenue,city,True,False,False
fare_revenue_PT_total_IRR_year,expression,,economic,public_transport_finance,city,True,False,False
fare_revenue_PT_total_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
fare_revenue_bus_IRR_year,expression,,economic,fares_revenue,city,True,False,False
fare_revenue_metro_IRR_year,expression,,economic,fares_revenue,city,True,False,False
fare_revenue_rhc_IRR_year,expression,,economic,fares_revenue,city,True,False,False
fare_rhc_IRR_trip_indexed,expression,,economic,fares_revenue,city,True,False,False
farebox_recovery_PT,expression,,economic,public_transport_finance,city,True,False,False
farebox_recovery_PT_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
fee_parking_IRR_per_space_hour_indexed,expression,,economic,capex,city,True,False,False
final_energy_MJ_year,expression,,environment,energy_use,city,True,False,False
final_energy_MJ_year_r12,expression,,environment,energy_use,region 12,True,False,False
final_energy_intensity_MJ_pkm,expression,,environment,energy_use,city,True,False,False
fuel_CNG_car_kg_year,expression,,environment,energy_use,city,True,False,False
fuel_CNG_kg_year,expression,,environment,energy_use,city,True,False,False
fuel_CNG_taxi_kg_year,expression,,environment,energy_use,city,True,False,False
fuel_diesel_bus_litre_year,expression,,environment,energy_use,city,True,False,False
fuel_gasoline_car_litre_year,expression,,environment,energy_use,city,True,False,False
fuel_gasoline_litre_year,expression,,environment,energy_use,city,True,False,False
fuel_gasoline_motorcycle_litre_year,expression,,environment,energy_use,city,True,False,False
fuel_gasoline_taxi_litre_year,expression,,environment,energy_use,city,True,False,False
fx_index_effective,expression,,economic,prices_inflation_fx,city,True,False,False
gasoline_L_year_r12,expression,,environment,energy_use,region 12,True,False,False
green_space_area_m2,expression,,urban,green_public_space,city,True,False,False
green_space_area_r12_m2,expression,,urban,green_public_space,region 12,True,False,False
green_space_mitigation_factor_NO2,expression,,environment,air_quality,city,True,False,False
green_space_mitigation_factor_PM25,expression,,environment,air_quality,city,True,False,False
green_space_per_capita_m2,expression,,urban,green_public_space,city,True,False,False
green_space_per_capita_r12_m2,expression,,urban,green_public_space,region 12,True,False,False
green_space_share_of_area_r12,expression,,urban,green_public_space,region 12,True,False,False
green_space_share_of_urban_area,expression,,urban,green_public_space,city,True,False,False
health_cost_per_capita_IRR,expression,,impact,external_costs,city,True,False,False
hist_add_BRT_km_year,expression,,transport,network_supply,city,True,False,False
hist_add_bike_km_year,expression,,transport,network_supply,city,True,False,False
hist_add_metro_km_year,expression,,transport,network_supply,city,True,False,False
hist_add_road_km_year,expression,,transport,network_supply,city,True,False,False
hist_remove_BRT_km_year,expression,,transport,network_supply,city,True,False,False
hist_remove_bike_km_year,expression,,transport,network_supply,city,True,False,False
hist_remove_metro_km_year,expression,,transport,network_supply,city,True,False,False
hist_remove_road_km_year,expression,,transport,network_supply,city,True,False,False
households_total,expression,,social,demography,city,True,False,False
inflation_index_effective_growth,expression,,economic,prices_inflation_fx,city,True,False,False
inflation_rate_effective,expression,,economic,prices_inflation_fx,city,True,False,False
is_inflation_shock_active,expression,,economic,prices_inflation_fx,city,True,False,False
k_NO2_concentration_effective_ugm3_per_t,expression,,environment,air_quality,city,True,False,False
k_PM25_concentration_effective_ugm3_per_t,expression,,environment,air_quality,city,True,False,False
len_bik_hist_target,expression,,transport,infrastructure,city,True,False,False
len_brt_hist_target,expression,,transport,infrastructure,city,True,False,False
len_brt_r12,expression,,transport,infrastructure,region 12,True,False,False
len_bus_r12,expression,,transport,infrastructure,region 12,True,False,False
len_hwy_hist_target,expression,,transport,infrastructure,city,True,False,False
len_hwy_r12,expression,,transport,infrastructure,region 12,True,False,False
len_met_hist_target,expression,,transport,infrastructure,city,True,False,False
len_met_r12,expression,,transport,infrastructure,region 12,True,False,False
metro_trainsets,expression,,transport,fleet_stock_public,city,True,False,False
migration_rate_per_person_year,expression,,social,demography,city,True,False,False
migrations_total_year,expression,,social,demography,city,True,False,False
modal_share_PT,expression,,transport,mode_choice_city,city,True,False,False
modal_share_PT_r12,expression,,transport,mode_choice_city,region 12,True,False,False
modal_share_bik,expression,,transport,mode_share,city,True,False,False
modal_share_bus,expression,,transport,mode_share,city,True,False,False
modal_share_bus_adj,expression,,transport,mode_share,city,True,False,False
modal_share_bus_ptf,expression,,transport,traffic_activity_pce,city,True,False,False
modal_share_bus_r12,expression,,transport,mode_share,region 12,True,False,False
modal_share_bus_r12_adj,expression,,transport,mode_share,region 12,True,False,False
modal_share_car,expression,,transport,mode_share,city,True,False,False
modal_share_car_adj,expression,,transport,mode_share,city,True,False,False
modal_share_car_ptf,expression,,transport,traffic_activity_pce,city,True,False,False
modal_share_car_r12,expression,,transport,mode_share,region 12,True,False,False
modal_share_car_r12_adj,expression,,transport,mode_share,region 12,True,False,False
modal_share_met_r12,expression,,transport,mode_share,region 12,True,False,False
modal_share_met_r12_adj,expression,,transport,mode_share,region 12,True,False,False
modal_share_metro,expression,,transport,mode_share,city,True,False,False
modal_share_metro_adj,expression,,transport,mode_share,city,True,False,False
modal_share_mot_ptf,expression,,transport,traffic_activity_pce,city,True,False,False
modal_share_mot_r12,expression,,transport,mode_share,region 12,True,False,False
modal_share_mot_r12_adj,expression,,transport,mode_share,region 12,True,False,False
modal_share_motorcycle,expression,,transport,mode_share,city,True,False,False
modal_share_motorcycle_adj,expression,,transport,mode_share,city,True,False,False
modal_share_oth_r12,expression,,transport,mode_share,region 12,True,False,False
modal_share_oth_r12_adj,expression,,transport,mode_share,region 12,True,False,False
modal_share_other,expression,,transport,mode_share,city,True,False,False
modal_share_other_adj,expression,,transport,mode_share,city,True,False,False
modal_share_tax_ptf,expression,,transport,traffic_activity_pce,city,True,False,False
modal_share_tax_r12,expression,,transport,mode_share,region 12,True,False,False
modal_share_tax_r12_adj,expression,,transport,mode_share,region 12,True,False,False
modal_share_taxi,expression,,transport,mode_share,city,True,False,False
modal_share_taxi_adj,expression,,transport,mode_share,city,True,False,False
mortality_adult_rate,expression,,social,health_impacts,city,True,False,False
mortality_child_rate,expression,,social,health_impacts,city,True,False,False
motorcycle_ownership_rate,expression,,social,demography,city,True,False,False
motorcycle_purchases_vehicles_year,expression,,transport,fleet_stock_private,city,True,False,False
motorcycle_retirements_vehicles_year,expression,,transport,fleet_stock_private,city,True,False,False
municipal_budget_IRR_year_r12_proxy,expression,,economic,macro,region 12,True,False,False
noise_exposure_index,expression,,environment,noise_parameters,city,True,False,False
noise_exposure_index_r12_proxy,expression,,environment,noise_parameters,region 12,True,False,False
operating_condition_factor_r12_vs_city,expression,,transport,performance,region 12,True,False,False
opex_BRT_IRR_km_indexed,expression,,economic,opex,city,True,False,False
opex_bus_IRR_km_indexed,expression,,economic,opex,city,True,False,False
opex_car_IRR_km_indexed,expression,,economic,opex,city,True,False,False
opex_metro_IRR_km_indexed,expression,,economic,opex,city,True,False,False
opex_parking_structure_IRR_per_space_indexed,expression,,economic,capex,city,True,False,False
opex_taxi_IRR_km_indexed,expression,,economic,opex,city,True,False,False
parking_r12,expression,,urban,land_use_structure,region 12,True,False,False
pkm_bus,expression,,transport,traffic_activity_city,city,True,False,False
pkm_car,expression,,transport,traffic_activity_city,city,True,False,False
pkm_metro,expression,,transport,traffic_activity_city,city,True,False,False
pkm_metro_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
pkm_motorcycle,expression,,transport,traffic_activity_city,city,True,False,False
pkm_other,expression,,transport,traffic_activity_city,city,True,False,False
pkm_taxi,expression,,transport,traffic_activity_city,city,True,False,False
pkm_total,expression,,transport,traffic_activity_city,city,True,False,False
policy_norm_denom_city,expression,,policy,adjustment,city,True,False,False
policy_norm_denom_r12,expression,,policy,adjustment,region 12,True,False,False
pop_r12,expression,,social,demography,region 12,True,False,False
private_car_ownership_rate,expression,,social,demography,city,True,False,False
pt_bus_service_index,expression,,transport,service_proxy,city,True,False,False
pt_cost_to_effective_budget_ratio,expression,,economic,public_transport_finance,city,True,False,False
pt_cost_to_effective_budget_ratio_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
respiratory_admissions,expression,,social,health_impacts,city,True,False,False
revenue_transport_public_IRR_year,expression,,economic,fares_revenue,city,True,False,False
revenue_transport_public_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
rhc_affordability_ratio,expression,,economic,fares_revenue,city,True,False,False
rhc_driver_revenue_IRR_year,expression,,economic,fares_revenue,city,True,False,False
rhc_expenditure_per_person_IRR_year,expression,,economic,fares_revenue,city,True,False,False
rhc_trips_per_person_year,expression,,economic,fares_revenue,city,True,False,False
road_capacity_PCE_km_hour,expression,,transport,congestion_capacity,city,True,False,False
road_capacity_PCE_km_hour_r12,expression,,transport,region12_performance,region 12,True,False,False
share_CAPEX_infra_total,expression,,economic,capex,city,True,False,False
share_car_gasoline,expression,,environment,energy_use,city,True,False,False
share_motorcycle_gasoline,expression,,environment,energy_use,city,True,False,False
share_taxi_CNG,expression,,environment,energy_use,city,True,False,False
share_taxi_gasoline,expression,,environment,energy_use,city,True,False,False
share_vkm_car_city_tfp,expression,,transport,traffic_regulation,city,True,False,False
share_vkm_car_r12_city,expression,,transport,traffic_activity_region,region 12,True,False,False
share_vkm_motorized_r12_city,expression,,transport,traffic_activity_region,region 12,True,False,False
spd_bus,expression,,transport,service_speed,city,True,False,False
spd_bus_freeflow_r12,expression,,transport,service_speed,region 12,True,False,False
spd_bus_r12,expression,,transport,performance,region 12,True,False,False
spd_car,expression,,transport,service_speed,city,True,False,False
spd_car_freeflow_r12,expression,,transport,service_speed,region 12,True,False,False
spd_car_r12,expression,,transport,performance,region 12,True,False,False
spd_mot,expression,,transport,service_speed,city,True,False,False
spd_mot_freeflow_r12,expression,,transport,service_speed,region 12,True,False,False
spd_mot_r12,expression,,transport,performance,region 12,True,False,False
spd_oth,expression,,transport,service_speed,city,True,False,False
spd_oth_freeflow_r12,expression,,transport,service_speed,region 12,True,False,False
spd_oth_r12,expression,,transport,performance,region 12,True,False,False
spd_tax,expression,,transport,service_speed,city,True,False,False
spd_tax_freeflow_r12,expression,,transport,service_speed,region 12,True,False,False
spd_tax_r12,expression,,transport,performance,region 12,True,False,False
system_cost_per_pkm_IRR,expression,,impact,system_costs,city,True,False,False
system_cost_transport_IRR_year,expression,,impact,system_costs,city,True,False,False
telework_trip_multiplier,expression,,transport,telework,city,True,False,False
time_loss_car_hours_year,expression,,transport,congestion,city,True,False,False
time_loss_car_hours_year_r12,expression,,transport,region12_performance,region 12,True,False,False
traffic_condition_factor_r12_vs_city,expression,,transport,performance,region 12,True,False,False
traffic_plan_fee_IRR_trip,expression,,economic,policy_revenue,region 12,True,False,False
traffic_plan_fee_behavior_IRR_trip,expression,,economic,behavioral_price_proxy,region 12,True,False,False
traffic_plan_revenue_IRR_year,expression,,economic,regulatory_revenue,city,True,False,False
traffic_plan_revenue_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
traffic_plan_revenue_scale,expression,,economic,regulatory_revenue,city,True,False,False
transport_budget_IRR_year,expression,,economic,macro,city,True,False,False
transport_budget_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
transport_budget_effective_IRR_year,expression,,economic,public_transport_finance,city,True,False,False
transport_budget_effective_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
transport_budget_gap_IRR_year,expression,,economic,public_transport_finance,city,True,False,False
transport_budget_gap_IRR_year_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
transport_budget_revenue_share_effective,expression,,economic,public_transport_finance,city,True,False,False
transport_budget_revenue_share_effective_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
transport_budget_utilization,expression,,economic,public_transport_finance,city,True,False,False
transport_budget_utilization_r12_alloc,expression,,economic,public_transport_finance,region 12,True,False,False
travel_time_bus_hours,expression,,transport,travel_time,city,True,False,False
travel_time_bus_r12_hours,expression,,transport,performance,region 12,True,False,False
travel_time_car_congested_hours,expression,,transport,travel_time,city,True,False,False
travel_time_car_hours,expression,,transport,travel_time,city,True,False,False
travel_time_car_r12_base_hours,expression,,transport,performance,region 12,True,False,False
travel_time_car_r12_hours,expression,,transport,travel_time,region 12,True,False,False
travel_time_metro_hours,expression,,transport,travel_time,city,True,False,False
travel_time_mot_r12_base_hours,expression,,transport,performance,region 12,True,False,False
travel_time_motorcycle_hours,expression,,transport,travel_time,city,True,False,False
travel_time_oth_r12_base_hours,expression,,transport,performance,region 12,True,False,False
travel_time_other_hours,expression,,transport,travel_time,city,True,False,False
travel_time_tax_r12_base_hours,expression,,transport,performance,region 12,True,False,False
travel_time_taxi_hours,expression,,transport,travel_time,city,True,False,False
trip_length_metro_km,expression,,transport,behavior,city,True,False,False
trips_bus_BRT,expression,,transport,travel_demand,city,True,False,False
trips_bus_nonBRT,expression,,transport,travel_demand,city,True,False,False
trips_bus_total,expression,,transport,travel_demand,city,True,False,False
trips_car,expression,,transport,travel_demand,city,True,False,False
trips_car_city_tfp,expression,,transport,traffic_regulation,city,True,False,False
trips_metro,expression,,transport,travel_demand,city,True,False,False
trips_motorcycle,expression,,transport,travel_demand,city,True,False,False
trips_other,expression,,transport,travel_demand,city,True,False,False
trips_per_year,expression,,transport,travel_demand,city,True,False,False
trips_taxi,expression,,transport,travel_demand,city,True,False,False
trp_r12_effective,expression,,transport,travel_demand,region 12,True,False,False
trp_r12_tfp,expression,,transport,traffic_regulation,region 12,True,False,False
trp_rhc,expression,,transport,travel_demand,city,True,False,False
trp_tfp,expression,,transport,traffic_regulation,city,True,False,False
trp_tps_city,expression,,transport,travel_demand_city,city,True,False,False
trp_tps_city_effective,expression,,transport,travel_demand,city,True,False,False
v_over_c,expression,,transport,congestion_capacity,city,True,False,False
v_over_c_r12,expression,,transport,region12_performance,region 12,True,False,False
v_over_c_r12_eff,expression,,transport,congestion,region 12,True,False,False
veh_rhc_ful,expression,,transport,fleet_stock_public,city,True,False,False
veh_tax_cap,expression,,transport,fleet_stock_public,city,True,False,False
vkm_BRT,expression,,transport,traffic_activity_city,city,True,False,False
vkm_bus,expression,,transport,traffic_activity_city,city,True,False,False
vkm_bus_EV,expression,,environment,energy_use,city,True,False,False
vkm_bus_EV_r12,expression,,transport,electrified_activity,region 12,True,False,False
vkm_bus_pce,expression,,transport,traffic_activity_pce,city,True,False,False
vkm_bus_pce_r12,expression,,transport,region12_performance,region 12,True,False,False
vkm_bus_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkm_bus_tailpipe,expression,,environment,emissions_city,city,True,False,False
vkm_car,expression,,transport,traffic_activity_city,city,True,False,False
vkm_car_CNG,expression,,environment,energy_use,city,True,False,False
vkm_car_EV,expression,,environment,energy_use,city,True,False,False
vkm_car_EV_r12,expression,,transport,electrified_activity,region 12,True,False,False
vkm_car_city_tfp,expression,,transport,traffic_regulation,city,True,False,False
vkm_car_congested_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkm_car_gasoline,expression,,environment,energy_use,city,True,False,False
vkm_car_pce,expression,,transport,traffic_activity_pce,city,True,False,False
vkm_car_pce_r12,expression,,transport,region12_performance,region 12,True,False,False
vkm_car_r12,expression,,transport,traffic_activity_region,region 12,True,False,False
vkm_car_tailpipe,expression,,environment,emissions_city,city,True,False,False
vkm_metro,expression,,transport,traffic_activity_city,city,True,False,False
