agent_id,structural_type,functional_role,category,subcategory,region,dependencies_count,dependencies,target_column,expression
share_CAPEX_brt_infra,input,Input/exogenous or initialized state,economic,capex,city,0,,,
share_CAPEX_metro_infra,input,Input/exogenous or initialized state,economic,capex,city,0,,,
share_CAPEX_infra_total,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,share_CAPEX_road + share_CAPEX_metro_infra + share_CAPEX_brt_infra + share_CAPEX_bike_infra
discount_rate_transport,input,Input/exogenous or initialized state,economic,capex,city,0,,,
lifetime_car_years,input,Input/exogenous or initialized state,economic,capex,city,0,,,
lifetime_bus_years,input,Input/exogenous or initialized state,economic,capex,city,0,,,
lifetime_metro_train_years,input,Input/exogenous or initialized state,economic,capex,city,0,,,
lifetime_infrastructure_years,input,Input/exogenous or initialized state,economic,capex,city,0,,,
CRF_bus,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,discount_rate_transport * (1 + discount_rate_transport) ** lifetime_bus_years / ((1 + discount_rate_transport) ** lifetime_bus_years - 1)
CRF_car,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,discount_rate_transport * (1 + discount_rate_transport) ** lifetime_car_years / ((1 + discount_rate_transport) ** lifetime_car_years - 1)
CRF_infrastructure,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,discount_rate_transport * (1 + discount_rate_transport) ** lifetime_infrastructure_years / ((1 + discount_rate_transport) ** lifetime_infrastructure_years - 1)
CRF_metro_rolling,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,discount_rate_transport * (1 + discount_rate_transport) ** lifetime_metro_train_years / ((1 + discount_rate_transport) ** lifetime_metro_train_years - 1)
len_bik,stock,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,city,0,,,
len_bus,input,Input/exogenous or initialized state,transport,network_supply,city,0,,,
len_brt,stock,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,city,0,,,
len_hwy,stock,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,city,0,,,
len_met,stock,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,city,0,,,
len_bik_obs_city,input,Input/exogenous or initialized state,transport,infrastructure,city,0,,,
len_brt_obs_city,input,Input/exogenous or initialized state,transport,infrastructure,city,0,,,
len_hwy_obs_city,input,Input/exogenous or initialized state,transport,infrastructure,city,0,,,
len_met_obs_city,input,Input/exogenous or initialized state,transport,infrastructure,city,0,,,
len_bik_hist_target,expression,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,city,3,YEAR_GRG | len_bik_obs_city | len_bik,,len_bik_obs_city if (YEAR_GRG<=2023 and len_bik_obs_city>0) else len_bik
len_brt_hist_target,expression,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,city,3,YEAR_GRG | len_brt_obs_city | len_brt,,len_brt_obs_city if (YEAR_GRG<=2023 and len_brt_obs_city>0) else len_brt
len_hwy_hist_target,expression,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,city,3,YEAR_GRG | len_hwy_obs_city | len_hwy,,len_hwy_obs_city if (YEAR_GRG<=2023 and len_hwy_obs_city>0) else len_hwy
len_met_hist_target,expression,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,city,3,YEAR_GRG | len_met_obs_city | len_met,,len_met_obs_city if (YEAR_GRG<=2023 and len_met_obs_city>0) else len_met
hist_add_bike_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,3,YEAR_GRG | len_bik_hist_target | len_bik,,"0 if YEAR_GRG>2023 else max(0, len_bik_hist_target - len_bik)"
hist_remove_bike_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,3,YEAR_GRG | len_bik_hist_target | len_bik,,"0 if YEAR_GRG>2023 else max(0, len_bik - len_bik_hist_target)"
hist_add_BRT_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,3,YEAR_GRG | len_brt_hist_target | len_brt,,"0 if YEAR_GRG>2023 else max(0, len_brt_hist_target - len_brt)"
hist_remove_BRT_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,3,YEAR_GRG | len_brt_hist_target | len_brt,,"0 if YEAR_GRG>2023 else max(0, len_brt - len_brt_hist_target)"
hist_add_road_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,3,YEAR_GRG | len_hwy_hist_target | len_hwy,,"0 if YEAR_GRG>2023 else max(0, len_hwy_hist_target - len_hwy)"
hist_remove_road_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,3,YEAR_GRG | len_hwy_hist_target | len_hwy,,"0 if YEAR_GRG>2023 else max(0, len_hwy - len_hwy_hist_target)"
hist_add_metro_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,3,YEAR_GRG | len_met_hist_target | len_met,,"0 if YEAR_GRG>2023 else max(0, len_met_hist_target - len_met)"
hist_remove_metro_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,3,YEAR_GRG | len_met_hist_target | len_met,,"0 if YEAR_GRG>2023 else max(0, len_met - len_met_hist_target)"
len_hwy_r12,expression,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,region 12,2,len_hwy_r12_obs | len_hwy,,len_hwy_r12_obs if YEAR_GRG<=2023 else (len_hwy*0.12376024148339802)
len_bus_r12,expression,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,region 12,2,len_bus_r12_obs | len_bus,,len_bus_r12_obs if YEAR_GRG<=2023 else (len_bus*0.01595051261829653)
len_brt_r12,expression,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,region 12,2,len_brt_r12_obs | len_brt,,len_brt_r12_obs if YEAR_GRG<=2023 else (len_brt*0.028048780487804875)
len_met_r12,expression,SD stock-flow / aggregate consequence / feedback,transport,infrastructure,region 12,2,len_met_r12_obs | len_met,,len_met_r12_obs if YEAR_GRG<=2023 else (len_met*0.07394366197183098)
expansion_bike_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,5,YEAR_GRG | CAPEX_transport_affordable_IRR_year | share_CAPEX_bike_infra | capex_bike_infrastructure_IRR_per_km_indexed | CRF_infrastructure,,"0 if YEAR_GRG<=2023 else (CAPEX_transport_affordable_IRR_year * share_CAPEX_bike_infra / max(capex_bike_infrastructure_IRR_per_km_indexed * CRF_infrastructure, 1.0))"
expansion_road_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,5,YEAR_GRG | CAPEX_transport_affordable_IRR_year | share_CAPEX_road | capex_road_upgrade_IRR_per_km_indexed | CRF_infrastructure,,"0 if YEAR_GRG<=2023 else (CAPEX_transport_affordable_IRR_year * share_CAPEX_road / max(capex_road_upgrade_IRR_per_km_indexed * CRF_infrastructure, 1.0))"
expansion_BRT_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,5,YEAR_GRG | CAPEX_transport_affordable_IRR_year | share_CAPEX_brt_infra | capex_brt_infrastructure_IRR_per_km_indexed | CRF_infrastructure,,"0 if YEAR_GRG<=2023 else (CAPEX_transport_affordable_IRR_year * share_CAPEX_brt_infra / max(capex_brt_infrastructure_IRR_per_km_indexed * CRF_infrastructure, 1.0))"
expansion_metro_km_year,expression,SD stock-flow / aggregate consequence / feedback,transport,network_supply,city,5,YEAR_GRG | CAPEX_transport_affordable_IRR_year | share_CAPEX_metro_infra | capex_metro_infrastructure_IRR_per_km_indexed | CRF_infrastructure,,"0 if YEAR_GRG<=2023 else (CAPEX_transport_affordable_IRR_year * share_CAPEX_metro_infra / max(capex_metro_infrastructure_IRR_per_km_indexed * CRF_infrastructure, 1.0))"
capex_bike_infrastructure_IRR_per_km_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_bike_infrastructure_IRR_per_km_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_bike_infrastructure_IRR_per_km_base * cost_index_0
CAPEX_bike_infrastructure_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,expansion_bike_km_year * capex_bike_infrastructure_IRR_per_km_indexed * CRF_infrastructure
capex_road_upgrade_IRR_per_km_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_road_upgrade_IRR_per_km_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_road_upgrade_IRR_per_km_base * cost_index_0
CAPEX_road_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,expansion_road_km_year * capex_road_upgrade_IRR_per_km_indexed * CRF_infrastructure
capex_brt_infrastructure_IRR_per_km_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_brt_infrastructure_IRR_per_km_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_brt_infrastructure_IRR_per_km_base * cost_index_20
CAPEX_brt_infrastructure_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,3,expansion_BRT_km_year | capex_brt_infrastructure_IRR_per_km_indexed | CRF_infrastructure,,expansion_BRT_km_year * capex_brt_infrastructure_IRR_per_km_indexed * CRF_infrastructure
capex_metro_infrastructure_IRR_per_km_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_metro_infrastructure_IRR_per_km_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_metro_infrastructure_IRR_per_km_base * cost_index_50
CAPEX_metro_infrastructure_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,3,expansion_metro_km_year | capex_metro_infrastructure_IRR_per_km_indexed | CRF_infrastructure,,expansion_metro_km_year * capex_metro_infrastructure_IRR_per_km_indexed * CRF_infrastructure
CAPEX_bus_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,(bus_purchases_vehicles_year * CRF_bus * (share_bus_diesel * capex_bus_IRR_per_vehicle_indexed +   share_bus_EV * capex_bus_EV_IRR_per_vehicle_indexed))
CAPEX_brt_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,(brt_purchases_vehicles_year * CRF_bus * (share_brt_bus_diesel * capex_brt_bus_IRR_per_vehicle_indexed +   share_brt_bus_EV * capex_brt_bus_EV_IRR_per_vehicle_indexed))
CAPEX_car_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,car_purchases_vehicles_year * CRF_car * (  (1 - share_car_EV) * capex_car_IRR_per_vehicle_indexed +   share_car_EV * capex_car_EV_IRR_per_vehicle_indexed)
CAPEX_metro_rolling_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,(metro_car_purchases_vehicles_year * capex_metro_train_IRR_per_trainset_indexed * CRF_metro_rolling)
CAPEX_taxi_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,taxi_purchases_vehicles_year * CRF_car * (  (1 - share_taxi_EV) * capex_taxi_IRR_per_vehicle_indexed +   share_taxi_EV * capex_taxi_EV_IRR_per_vehicle_indexed)
CAPEX_transport_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,CAPEX_car_IRR_year + CAPEX_taxi_IRR_year + CAPEX_bus_IRR_year + CAPEX_brt_IRR_year + CAPEX_metro_rolling_IRR_year + CAPEX_metro_infrastructure_IRR_year + CAPEX_brt_infrastructure_IRR_year + CAPEX_road_IRR_year + CAPEX_bike_infrastructure_IRR_year
capex_brt_bus_IRR_per_vehicle_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_brt_bus_IRR_per_vehicle_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_brt_bus_IRR_per_vehicle_base * cost_index_70
capex_brt_bus_EV_IRR_per_vehicle_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_brt_bus_EV_IRR_per_vehicle_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_brt_bus_EV_IRR_per_vehicle_base * cost_index_100
capex_bus_EV_IRR_per_vehicle_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_bus_EV_IRR_per_vehicle_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_bus_EV_IRR_per_vehicle_base * cost_index_100
capex_bus_IRR_per_vehicle_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_bus_IRR_per_vehicle_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_bus_IRR_per_vehicle_base * cost_index_70
capex_car_EV_IRR_per_vehicle_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_car_EV_IRR_per_vehicle_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_car_EV_IRR_per_vehicle_base * cost_index_100
capex_car_IRR_per_vehicle_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_car_IRR_per_vehicle_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_car_IRR_per_vehicle_base * cost_index_50
capex_metro_train_IRR_per_trainset_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_metro_train_IRR_per_trainset_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_metro_train_IRR_per_trainset_base * cost_index_80
capex_parking_structure_IRR_per_space_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_parking_structure_IRR_per_space_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_parking_structure_IRR_per_space_base * cost_index_20
opex_parking_structure_IRR_per_space_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
opex_parking_structure_IRR_per_space_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,opex_parking_structure_IRR_per_space_base * cost_index_0
fee_parking_IRR_per_space_hour_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
fee_parking_IRR_per_space_hour_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,fee_parking_IRR_per_space_hour_base * cost_index_0
capex_taxi_EV_IRR_per_vehicle_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_taxi_EV_IRR_per_vehicle_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_taxi_EV_IRR_per_vehicle_base * cost_index_70
capex_taxi_IRR_per_vehicle_base,input,Input/exogenous or initialized state,economic,capex,city,0,,,
capex_taxi_IRR_per_vehicle_indexed,expression,SD stock-flow / aggregate consequence / feedback,economic,capex,city,0,,,capex_taxi_IRR_per_vehicle_base * cost_index_50
OPEX_BRT_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,opex,city,0,,,(vkm_BRT * opex_BRT_IRR_km_indexed)
OPEX_bus_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,opex,city,0,,,(vkm_bus * opex_bus_IRR_km_indexed)
OPEX_car_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,opex,city,0,,,vkm_car * opex_car_IRR_km_indexed
OPEX_metro_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,opex,city,0,,,(vkm_metro * opex_metro_IRR_km_indexed)
OPEX_taxi_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,opex,city,0,,,vkm_taxi * opex_taxi_IRR_km_indexed
OPEX_transport_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,opex,city,0,,,OPEX_car_IRR_year + OPEX_taxi_IRR_year + OPEX_bus_IRR_year + OPEX_BRT_IRR_year + OPEX_metro_IRR_year
AF_NO2,expression,SD stock-flow / aggregate consequence / feedback,social,health_impacts,city,0,,,"safe_div((RR_NO2 - 1), RR_NO2)"
AF_PM25,expression,SD stock-flow / aggregate consequence / feedback,social,health_impacts,city,0,,,"safe_div((RR_PM25 - 1), RR_PM25)"
AF_PM25_adult,expression,SD stock-flow / aggregate consequence / feedback,social,health_impacts,city,0,,,(RR_PM25_adult - 1) / RR_PM25_adult
AF_PM25_child,expression,SD stock-flow / aggregate consequence / feedback,social,health_impacts,city,0,,,(RR_PM25_child - 1) / RR_PM25_child
CO2_CNG_kg_year,expression,SD stock-flow / aggregate consequence / feedback,environment,climate_co2,city,0,,,fuel_CNG_kg_year * EF_CO2_CNG_kg_kg
CO2_diesel_kg_year,expression,SD stock-flow / aggregate consequence / feedback,environment,climate_co2,city,0,,,fuel_diesel_bus_litre_year * EF_CO2_diesel_kg_litre
CO2_gasoline_kg_year,expression,SD stock-flow / aggregate consequence / feedback,environment,climate_co2,city,0,,,fuel_gasoline_litre_year * EF_CO2_gasoline_kg_litre
CO2_grid_kg_year,expression,SD stock-flow / aggregate consequence / feedback,environment,climate_co2,city,0,,,electricity_transport_kWh_year * EF_CO2_grid_kg_kWh
CO2_intensity_g_pkm,expression,SD stock-flow / aggregate consequence / feedback,environment,climate_co2,city,0,,,"(CO2_kg_year * 1000) / max(pkm_total, 1)"
CO2_kg_year,expression,SD stock-flow / aggregate consequence / feedback,environment,climate_co2,city,0,,,CO2_gasoline_kg_year + CO2_diesel_kg_year + CO2_CNG_kg_year + CO2_grid_kg_year
CO2_t_year,expression,SD stock-flow / aggregate consequence / feedback,environment,climate_co2,city,0,,,CO2_kg_year / 1000
CR_NO2_mortality,input,Input/exogenous or initialized state,social,health_impacts,city,0,,,
CR_PM25_mortality_adult,input,Input/exogenous or initialized state,social,health_impacts,city,0,,,
CR_PM25_mortality_child,input,Input/exogenous or initialized state,social,health_impacts,city,0,,,
CR_PM25_respiratory_admission,input,Input/exogenous or initialized state,social,health_impacts,city,0,,,
EF_CO2_CNG_kg_kg,input,Input/exogenous or initialized state,environment,climate_co2,city,0,,,
EF_CO2_diesel_kg_litre,input,Input/exogenous or initialized state,environment,climate_co2,city,0,,,
EF_CO2_gasoline_kg_litre,input,Input/exogenous or initialized state,environment,climate_co2,city,0,,,
EF_CO2_grid_kg_kWh,input,Input/exogenous or initialized state,environment,climate_co2,city,0,,,
EF_NOx_bus_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_NOx_car_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_NOx_motorcycle_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_NOx_taxi_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_PM25_bus_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_PM25_car_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_PM25_motorcycle_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_PM25_taxi_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_SO2_bus_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_SO2_car_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_SO2_motorcycle_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_SO2_taxi_g_km,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_grid_NOx_g_kWh,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_grid_PM25_g_kWh,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EF_grid_SO2_g_kWh,input,Input/exogenous or initialized state,environment,emissions_city,city,0,,,
EV_share_vkm_weighted,expression,SD stock-flow / aggregate consequence / feedback,environment,energy_use,city,0,,,"(vkm_car_EV + vkm_taxi_EV + vkm_motorcycle_EV + vkm_bus_EV) / max(vkm_car + vkm_taxi + vkm_motorcycle + vkm_bus, 1)"
LHV_CNG_MJ_kg,input,Input/exogenous or initialized state,environment,energy_use,city,0,,,
LHV_diesel_MJ_litre,input,Input/exogenous or initialized state,environment,energy_use,city,0,,,
LHV_electricity_MJ_kWh,input,Input/exogenous or initialized state,environment,energy_use,city,0,,,
LHV_gasoline_MJ_litre,input,Input/exogenous or initialized state,environment,energy_use,city,0,,,
NO2_background_ugm3,input,Input/exogenous or initialized state,environment,air_quality,city,0,,,
NO2_threshold_ugm3,input,Input/exogenous or initialized state,environment,air_quality,city,0,,,
NOx_g_year,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_city,city,0,,,NOx_tailpipe_g_year + NOx_grid_g_year
NOx_grid_g_year,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_city,city,0,,,EF_grid_NOx_g_kWh * electricity_transport_kWh_year
NOx_t_year,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_city,city,0,,,NOx_g_year / 1e6
NOx_tailpipe_g_year,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_city,city,0,,,EF_NOx_car_g_km * vkm_car_tailpipe + EF_NOx_bus_g_km * vkm_bus_tailpipe + EF_NOx_taxi_g_km * vkm_taxi_tailpipe + EF_NOx_motorcycle_g_km * vkm_motorcycle_tailpipe
PM25_background_ugm3,input,Input/exogenous or initialized state,environment,air_quality,city,0,,,
PM25_g_year,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_city,city,0,,,PM25_tailpipe_g_year + PM25_grid_g_year
PM25_grid_g_year,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_city,city,0,,,EF_grid_PM25_g_kWh * electricity_transport_kWh_year
PM25_t_year,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_city,city,0,,,PM25_g_year / 1e6
PM25_t_year_r12,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_region,region 12,0,,,(EF_PM25_car_g_km * vkm_car_r12 * car_energy_closure_factor * (1 - share_car_EV) + EF_PM25_bus_g_km * vkm_bus_r12 * (1 - share_bus_EV) + EF_PM25_taxi_g_km * vkm_taxi_r12 * (1 - share_taxi_EV) + EF_PM25_motorcycle_g_km * vkm_motorcycle_r12 * (1 - share_motorcycle_EV) + EF_grid_PM25_g_kWh * electricity_kWh_year_r12) / 1e6
PM25_tailpipe_g_year,expression,SD stock-flow / aggregate consequence / feedback,environment,emissions_city,city,0,,,EF_PM25_car_g_km * vkm_car_tailpipe + EF_PM25_bus_g_km * vkm_bus_tailpipe + EF_PM25_taxi_g_km * vkm_taxi_tailpipe + EF_PM25_motorcycle_g_km * vkm_motorcycle_tailpipe
PM25_threshold_ugm3,input,Input/exogenous or initialized state,environment,air_quality,city,0,,,
PT_affordability_ratio,expression,SD stock-flow / aggregate consequence / feedback,economic,fares_revenue,city,0,,,"PT_expenditure_per_person_IRR_year / max(household_income_per_capita_IRR_year, 1)"
PT_expenditure_per_person_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,fares_revenue,city,0,,,PT_trips_per_person_per_year * (modal_share_bus/modal_share_PT * fare_bus_IRR_trip_indexed + modal_share_metro/modal_share_PT * fare_metro_IRR_trip_indexed)
OPEX_PT_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,fares_revenue,city,0,,,OPEX_bus_IRR_year + OPEX_BRT_IRR_year + OPEX_metro_IRR_year + cost_energy_PT_IRR_year
OPEX_PT_deficit_IRR_year,expression,SD stock-flow / aggregate consequence / feedback,economic,public_transport_finance,city,2,OPEX_PT_IRR_year | revenue_transport_public_IRR_year,,"max(OPEX_PT_IRR_year - revenue_transport_public_IRR_year, 0)"
PT_trips_per_person_per_year,expression,SD stock-flow / aggregate consequence / feedback,economic,fares_revenue,city,0,,,"PT_trips_total / max(population_city, 1)"
PT_trips_total,expression,SD stock-flow / aggregate consequence / feedback,economic,fares_revenue,city,0,,,trips_bus_total + trips_metro
RR_NO2,expression,SD stock-flow / aggregate consequence / feedback,social,health_impacts,city,0,,,exp(CR_NO2_mortality * concentration_NO2_excess_ugm3)
RR_PM25,expression,SD stock-flow / aggregate consequence / feedback,social,health_impacts,city,0,,,exp(CR_PM25_mortality_adult * concentration_PM25_excess_ugm3)
RR_PM25_adult,expression,SD stock-flow / aggregate consequence / feedback,social,health_impacts,city,0,,,exp(CR_PM25_mortality_adult * concentration_PM25_excess_ugm3)
RR_PM25_child,expression,SD stock-flow / aggregate consequence / feedback,social,health_impacts,city,0,,,exp(CR_PM25_mortality_child * concentration_PM25_excess_ugm3)
